block_id,status,src_start_line,src_end_line,word_count,primary_title,session_by,output_file,notes
001,done,1,34,194,Planets in Composite,exemplar-referencia-opus,blocos/001.md,EXEMPLAR de referencia.
002,done,35,76,736,Contents,exemplar-referencia-opus,blocos/002.md,EXEMPLAR de referencia.
003,done,77,128,1983,Introduction,exemplar-referencia-opus,blocos/003.md,EXEMPLAR de referencia.
004,pending,129,285,2505,Chapter One: Casting the Chart,,blocos/004.md,
005,pending,286,363,1765,Multiple Composites,,blocos/005.md,
006,pending,364,471,1743,The Vertex,,blocos/006.md,
007,pending,472,549,2799,Chapter Two: Reading the Chart,,blocos/007.md,
008,pending,550,643,3353,Chapter Three: Case Studies,,blocos/008.md,
009,pending,644,673,908,Case Two: Fred and Mary,,blocos/009.md,
010,pending,674,703,1381,Case Three: The Duke and Duchess of Windsor,,blocos/010.md,
011,pending,704,737,1612,Case Four: Nicholas and Alexandra,,blocos/011.md,
012,pending,738,799,2491,Case Five: Freud and Jung,,blocos/012.md,
013,pending,800,855,1953,Chapter Four: Houses,,blocos/013.md,
014,pending,856,917,1782,Sixth House,,blocos/014.md,
015,pending,918,925,326,The Composite Ascendant,,blocos/015.md,
016,done,926,997,1860,Chapter Five: Sun,exemplar-referencia-opus,blocos/016.md,EXEMPLAR. 5a casa: fragmento 'affect others' remontado (OCR).
017,done,998,1063,1728,Sixth House,exemplar-referencia-opus,blocos/017.md,EXEMPLAR de referencia.
018,done,1064,1141,1914,Twelfth House,exemplar-referencia-opus,blocos/018.md,EXEMPLAR de referencia.
019,pending,1142,1223,1789,Conjunct Mars,,blocos/019.md,
020,pending,1224,1295,1858,Trine Jupiter,,blocos/020.md,
021,pending,1296,1373,1854,Sextile Uranus,,blocos/021.md,
022,pending,1374,1449,1848,Opposition Neptune,,blocos/022.md,
023,pending,1450,1531,1845,Sextile Ascendant,,blocos/023.md,
024,pending,1532,1617,1905,Third House,,blocos/024.md,
025,pending,1618,1701,1889,Eleventh House,,blocos/025.md,
026,pending,1702,1783,1778,Sextile Venus,,blocos/026.md,
027,pending,1784,1869,1850,Opposition Mars,,blocos/027.md,
028,pending,1870,1951,1966,Square Saturn,,blocos/028.md,
029,pending,1952,2025,1838,Conjunct Neptune,,blocos/029.md,
030,pending,2026,2093,1847,Square Pluto,,blocos/030.md,
031,pending,2094,2181,1971,Opposition Ascendant,,blocos/031.md,
032,pending,2182,2273,1947,Eighth House,,blocos/032.md,
033,pending,2274,2355,1811,Trine Mars,,blocos/033.md,
034,pending,2356,2435,1918,Sextile Saturn,,blocos/034.md,
035,pending,2436,2509,1928,Conjunct Neptune,,blocos/035.md,
036,pending,2510,2593,1976,Trine Pluto,,blocos/036.md,
037,pending,2594,2673,1946,First House,,blocos/037.md,
038,pending,2674,2749,1822,Tenth House,,blocos/038.md,
039,pending,2750,2825,1862,Conjunct Jupiter,,blocos/039.md,
040,pending,2826,2903,1942,Trine Saturn,,blocos/040.md,
041,pending,2904,2969,1759,Conjunct Neptune,,blocos/041.md,
042,pending,2970,3051,1881,Square Pluto,,blocos/042.md,
043,pending,3052,3121,1778,The Meaning of Mars in theComposite Chart,,blocos/043.md,
044,pending,3122,3195,1974,Seventh House,,blocos/044.md,
045,pending,3196,3259,1713,Square Jupiter,,blocos/045.md,
046,pending,3260,3321,1754,Opposition Saturn,,blocos/046.md,
047,pending,3322,3393,1988,Sextile Neptune,,blocos/047.md,
048,pending,3394,3465,1817,Trine Pluto,,blocos/048.md,
049,pending,3466,3551,1808,The Meaning of Jupiter in the Composite Chart,,blocos/049.md,
050,pending,3552,3629,1860,Ninth House,,blocos/050.md,
051,pending,3630,3703,1855,Opposition Saturn,,blocos/051.md,
052,pending,3704,3779,1802,Square Neptune,,blocos/052.md,
053,pending,3780,3863,1808,Conjunct Ascendant,,blocos/053.md,
054,pending,3864,3929,1790,Second House,,blocos/054.md,
055,pending,3930,4005,1877,Ninth House,,blocos/055.md,
056,pending,4006,4077,1747,Opposition Uranus,,blocos/056.md,
057,pending,4078,4149,1919,Square Pluto,,blocos/057.md,
058,pending,4150,4223,1865,Opposition Ascendant,,blocos/058.md,
059,pending,4224,4289,1801,Sixth House,,blocos/059.md,
060,pending,4290,4367,1979,Square Neptune,,blocos/060.md,
061,pending,4368,4439,1842,Trine Ascendant,,blocos/061.md,
062,pending,4440,4505,1823,Fourth House,,blocos/062.md,
063,pending,4506,4573,1674,Eleventh House,,blocos/063.md,
064,pending,4574,4649,1780,Opposition Ascendant,,blocos/064.md,
065,pending,4650,4727,1985,Fifth House,,blocos/065.md,
066,pending,4728,4801,1742,Twelfth House,,blocos/066.md,
067,pending,4802,4871,1786,Meaning of the Moon's Nodes,,blocos/067.md,
068,pending,4872,5059,1898,Mars-Node Aspects,,blocos/068.md,
069,pending,5060,5368,1521,Mars,,blocos/069.md,
